dataset,site,subid,volume,pass,rater
ABIDE_I,CALTECH,51456,0,YES,MVL
ABIDE_I,CALTECH,51457,1,YES,MVL
ABIDE_I,CALTECH,51458,2,YES,MVL
ABIDE_I,CALTECH,51459,3,YES,MVL
ABIDE_I,CALTECH,51460,4,YES,MVL
ABIDE_I,CALTECH,51461,5,YES,MVL
ABIDE_I,CALTECH,51462,6,YES,MVL
ABIDE_I,CALTECH,51463,7,YES,MVL
ABIDE_I,CALTECH,51464,8,YES,MVL
ABIDE_I,CALTECH,51465,9,NO,MVL
ABIDE_I,CALTECH,51466,10,NO,MVL
ABIDE_I,CALTECH,51467,11,YES,MVL
ABIDE_I,CALTECH,51468,12,YES,MVL
ABIDE_I,CALTECH,51469,13,YES,MVL
ABIDE_I,CALTECH,51470,14,YES,MVL
ABIDE_I,CALTECH,51471,15,YES,MVL
ABIDE_I,CALTECH,51472,16,NO,MVL
ABIDE_I,CALTECH,51473,17,YES,MVL
ABIDE_I,CALTECH,51474,18,YES,MVL
ABIDE_I,CALTECH,51475,19,YES,MVL
ABIDE_I,CALTECH,51476,,,
ABIDE_I,CALTECH,51477,20,YES,MVL
ABIDE_I,CALTECH,51478,21,YES,MVL
ABIDE_I,CALTECH,51479,22,YES,MVL
ABIDE_I,CALTECH,51480,23,YES,MVL
ABIDE_I,CALTECH,51481,24,NO,MVL
ABIDE_I,CALTECH,51482,25,YES,MVL
ABIDE_I,CALTECH,51483,26,YES,MVL
ABIDE_I,CALTECH,51484,27,YES,MVL
ABIDE_I,CALTECH,51485,28,YES,MVL
ABIDE_I,CALTECH,51486,29,YES,MVL
ABIDE_I,CALTECH,51487,30,NO,MVL
ABIDE_I,CALTECH,51488,31,YES,MVL
ABIDE_I,CALTECH,51489,32,YES,MVL
ABIDE_I,CALTECH,51490,33,YES,MVL
ABIDE_I,CALTECH,51491,34,YES,MVL
ABIDE_I,CALTECH,51492,35,YES,MVL
ABIDE_I,CALTECH,51493,36,YES,MVL
ABIDE_I,CMU,50642,0,NO,MVL
ABIDE_I,CMU,50643,1,YES,MVL
ABIDE_I,CMU,50644,2,NO,MVL
ABIDE_I,CMU,50645,3,YES,MVL
ABIDE_I,CMU,50648,4,YES,MVL
ABIDE_I,CMU,50649,5,YES,MVL
ABIDE_I,CMU,50650,6,YES,MVL
ABIDE_I,CMU,50651,7,YES,MVL
ABIDE_I,CMU,50652,8,YES,MVL
ABIDE_I,CMU,50654,9,YES,MVL
ABIDE_I,CMU,50655,10,YES,MVL
ABIDE_I,CMU,50656,11,YES,MVL
ABIDE_I,CMU,50657,12,NO,MVL
ABIDE_I,CMU,50658,13,YES,MVL
ABIDE_I,CMU,50659,14,NO,MVL
ABIDE_I,CMU,50660,15,NO,MVL
ABIDE_I,CMU,50661,16,YES,MVL
ABIDE_I,CMU,50663,17,YES,MVL
ABIDE_I,CMU,50664,18,YES,MVL
ABIDE_I,CMU,50665,19,YES,MVL
ABIDE_I,CMU,50667,20,NO,MVL
ABIDE_I,CMU,50668,21,YES,MVL
ABIDE_I,CMU,50669,22,YES,MVL
ABIDE_I,KKI,50772,0,YES,MVL
ABIDE_I,KKI,50773,1,YES,MVL
ABIDE_I,KKI,50774,2,YES,MVL
ABIDE_I,KKI,50775,3,YES,MVL
ABIDE_I,KKI,50776,4,NO,MVL
ABIDE_I,KKI,50777,5,NO,MVL
ABIDE_I,KKI,50778,6,YES,MVL
ABIDE_I,KKI,50779,7,NO,MVL
ABIDE_I,KKI,50780,8,YES,MVL
ABIDE_I,KKI,50781,9,YES,MVL
ABIDE_I,KKI,50782,10,YES,MVL
ABIDE_I,KKI,50783,11,NO,MVL
ABIDE_I,KKI,50784,12,NO,MVL
ABIDE_I,KKI,50785,13,YES,MVL
ABIDE_I,KKI,50786,14,YES,MVL
ABIDE_I,KKI,50787,15,YES,MVL
ABIDE_I,KKI,50788,16,NO,MVL
ABIDE_I,KKI,50789,17,NO,MVL
ABIDE_I,KKI,50790,18,NO,MVL
ABIDE_I,KKI,50791,19,YES,MVL
ABIDE_I,KKI,50792,20,YES,MVL
ABIDE_I,KKI,50793,21,YES,MVL
ABIDE_I,KKI,50794,22,YES,MVL
ABIDE_I,KKI,50795,23,YES,MVL
ABIDE_I,KKI,50796,24,YES,MVL
ABIDE_I,KKI,50797,25,NO,MVL
ABIDE_I,KKI,50798,26,YES,MVL
ABIDE_I,KKI,50799,27,YES,MVL
ABIDE_I,KKI,50800,28,YES,MVL
ABIDE_I,KKI,50801,29,NO,MVL
ABIDE_I,KKI,50802,30,YES,MVL
ABIDE_I,KKI,50803,31,YES,MVL
ABIDE_I,KKI,50804,32,YES,MVL
ABIDE_I,KKI,50805,33,YES,MVL
ABIDE_I,KKI,50806,34,YES,MVL
ABIDE_I,KKI,50807,35,NO,MVL
ABIDE_I,KKI,50808,36,YES,MVL
ABIDE_I,KKI,50809,37,YES,MVL
ABIDE_I,KKI,50810,38,YES,MVL
ABIDE_I,KKI,50811,39,YES,MVL
ABIDE_I,KKI,50812,40,YES,MVL
ABIDE_I,KKI,50813,41,YES,MVL
ABIDE_I,KKI,50814,42,YES,MVL
ABIDE_I,KKI,50815,43,YES,MVL
ABIDE_I,KKI,50816,44,NO,MVL
ABIDE_I,KKI,50817,45,YES,MVL
ABIDE_I,KKI,50818,46,YES,MVL
ABIDE_I,KKI,50819,47,YES,MVL
ABIDE_I,KKI,50820,48,YES,MVL
ABIDE_I,KKI,50821,49,NO,MVL
ABIDE_I,KKI,50822,50,NO,MVL
ABIDE_I,KKI,50823,51,NO,MVL
ABIDE_I,KKI,50824,52,YES,MVL
ABIDE_I,KKI,50825,53,YES,MVL
ABIDE_I,KKI,50826,54,NO,MVL
ABIDE_I,LEUVEN_1,50682,0,NO,MVL
ABIDE_I,LEUVEN_1,50683,1,NO,MVL
ABIDE_I,LEUVEN_1,50685,2,YES,MVL
ABIDE_I,LEUVEN_1,50686,3,YES,MVL
ABIDE_I,LEUVEN_1,50687,4,YES,MVL
ABIDE_I,LEUVEN_1,50688,5,YES,MVL
ABIDE_I,LEUVEN_1,50689,6,YES,MVL
ABIDE_I,LEUVEN_1,50690,,,
ABIDE_I,LEUVEN_1,50691,7,YES,MVL
ABIDE_I,LEUVEN_1,50692,8,YES,MVL
ABIDE_I,LEUVEN_1,50693,9,NO,MVL
ABIDE_I,LEUVEN_1,50694,,,
ABIDE_I,LEUVEN_1,50695,10,YES,MVL
ABIDE_I,LEUVEN_1,50696,11,YES,MVL
ABIDE_I,LEUVEN_1,50697,12,NO,MVL
ABIDE_I,LEUVEN_1,50698,13,YES,MVL
ABIDE_I,LEUVEN_1,50699,14,YES,MVL
ABIDE_I,LEUVEN_1,50700,15,YES,MVL
ABIDE_I,LEUVEN_1,50701,16,YES,MVL
ABIDE_I,LEUVEN_1,50702,17,YES,MVL
ABIDE_I,LEUVEN_1,50703,18,YES,MVL
ABIDE_I,LEUVEN_1,50704,19,YES,MVL
ABIDE_I,LEUVEN_1,50705,20,YES,MVL
ABIDE_I,LEUVEN_1,50706,21,YES,MVL
ABIDE_I,LEUVEN_1,50707,22,YES,MVL
ABIDE_I,LEUVEN_1,50708,23,YES,MVL
ABIDE_I,LEUVEN_1,50709,24,YES,MVL
ABIDE_I,LEUVEN_1,50710,25,NO,MVL
ABIDE_I,LEUVEN_1,50711,26,YES,MVL
ABIDE_I,LEUVEN_2,50722,0,YES,MVL
ABIDE_I,LEUVEN_2,50723,,,
ABIDE_I,LEUVEN_2,50724,1,YES,MVL
ABIDE_I,LEUVEN_2,50725,2,YES,MVL
ABIDE_I,LEUVEN_2,50726,3,YES,MVL
ABIDE_I,LEUVEN_2,50727,4,NO,MVL
ABIDE_I,LEUVEN_2,50728,5,YES,MVL
ABIDE_I,LEUVEN_2,50730,6,YES,MVL
ABIDE_I,LEUVEN_2,50731,7,YES,MVL
ABIDE_I,LEUVEN_2,50732,8,YES,MVL
ABIDE_I,LEUVEN_2,50733,9,YES,MVL
ABIDE_I,LEUVEN_2,50734,10,YES,MVL
ABIDE_I,LEUVEN_2,50735,11,YES,MVL
ABIDE_I,LEUVEN_2,50736,12,NO,MVL
ABIDE_I,LEUVEN_2,50737,13,YES,MVL
ABIDE_I,LEUVEN_2,50738,14,YES,MVL
ABIDE_I,LEUVEN_2,50739,15,YES,MVL
ABIDE_I,LEUVEN_2,50740,16,YES,MVL
ABIDE_I,LEUVEN_2,50741,17,YES,MVL
ABIDE_I,LEUVEN_2,50742,18,NO,MVL
ABIDE_I,LEUVEN_2,50743,19,YES,MVL
ABIDE_I,LEUVEN_2,50744,,,
ABIDE_I,LEUVEN_2,50745,20,YES,MVL
ABIDE_I,LEUVEN_2,50746,21,YES,MVL
ABIDE_I,LEUVEN_2,50747,22,YES,MVL
ABIDE_I,LEUVEN_2,50748,23,YES,MVL
ABIDE_I,LEUVEN_2,50749,24,YES,MVL
ABIDE_I,LEUVEN_2,50750,25,NO,MVL
ABIDE_I,LEUVEN_2,50751,26,YES,MVL
ABIDE_I,LEUVEN_2,50752,27,YES,MVL
ABIDE_I,LEUVEN_2,50753,28,YES,MVL
ABIDE_I,LEUVEN_2,50754,29,YES,MVL
ABIDE_I,LEUVEN_2,50755,30,YES,MVL
ABIDE_I,LEUVEN_2,50756,31,YES,MVL
